feature,importance
H1.2,0.22555173370286177
NY2,0.19816826382588515
Y8,0.05891304401816362
H_Script_Count,0.054036797756397095
NH2.2,0.0506725111180534
Y7,0.037458047719454664
NH2.1,0.03680538442204295
H_Ext_Ratio,0.036626239805784874
U5.1,0.03650475278290402
U5.3,0.032275131693013395
U_Sensitive_Count,0.032192810360388506
H1.1,0.02877196926344485
H_Form_Count,0.022032605289973733
H_Iframe_Count,0.018607027032517792
U6.3,0.01314839930905183
U7.3,0.013033731019507222
NY6,0.010707550764867306
NU4,0.008900730376775207
H_Hidden_Count,0.008576648220711228
H1.3,0.008078302127758306
U7.1,0.0075033531866725576
U_Special_Ratio,0.0073033204469542656
U5.2,0.0061454834131668265
H_Null_Ratio,0.0052687657840664315
U1,0.005173033047578608
U7.2,0.005021968214537762
U6.1,0.004778580210051583
U6.2,0.004017462579428743
NU8.1,0.0033120104940124882
U7.6,0.0030578873153858086
H1.5,0.0028435936407712964
U7.8,0.002244410218776383
NLP_Urgent_Count,0.001835848751369436
H1.4,0.0017869382168275356
Y1,0.0017123309053220888
U7.7,0.0016698688042743348
U7.5,0.0013980299564762663
H_Suspicious_Form,0.001180876033280174
NY9,0.0005432141610473033
NH3,0.0005240964224696268
U7.4,0.00038302515424540855
NY3.3,0.0002627332707350022
NY3.2,0.00024101828164197517
U3,0.00017840083265663228
U2,0.00013189008886329177
NY5.1,9.638717632444361e-05
NY5.2,9.035955857971267e-05
U8.2,8.606681830051035e-05
NY3.1,8.068202926309616e-05
NY4.2,3.493222480579763e-05
NY4.3,2.912214168829686e-05
NY4.1,2.6300108694078804e-06
U7.9,0.0
